reject_id,reason,duplicate_of_hash,source_csv,source_csv_row_index,item_id,page_index,candidate_text_candidate,source_norm_hash,mining_score,extraction_quality_proxy,categories_from_mining,risk_notes
MCT-UWINDSOR-365-REJECT-0001,same_item_page_near_duplicate,233841bc7bea6383,common_actor_struggles_quote_bucket_verified_draft.md,10,837,1,"The illusion of the whole is there but the real experience of the whole - the beginning and the end - is not. We must know that there are two feelings of the whole - one is the intellectual which we cannot apply to our art at all; and the other is that which feeds and leads our whole nature. It is the whole nature which participates in this rhythmical thing. The beginning must be connected with the end. When you begin the rhythmical event, you must anticipate the end. It is really the whole nature with all its functions.",ddfa6142bb37caf3,140,0.887,actor_struggle;daily_inspiration;directing_academic_footnote;method_terms,Not public cleared. Draft says punctuation/capitalization mostly follows visible typescript; second human/PDF read recommended. Previously seed-verified and re-rendered in this pass. Good readability.
MCT-UWINDSOR-365-REJECT-0002,exact_normalized_duplicate,79159b9ddd57d171,common_actor_struggles_quote_bucket_verified_draft.md,2,1077,4,"Secondly, the simple action, and the simple quality will appeal to our utmost inner life, as we are not touching our feelings first, we are not tearing our soul to pieces to find our feelings, which cannot be found in that way. When the actor cannot find his feelings - for instance, tender love for a child - if he tells the director that he has never had a child, the director can answer him that everyone can give the quality of tenderness and love to his actions. Simultaneously we take the action of moving the chair with the quality of ""care"". Neither is the result, they are only the springboard for awakening the two main things which actors must always use to the fullest extent - our will, or action, and our feelings. For action we must just choose what to do or the action, and for the future feelings, we must choose how to do it, or the quality.",79159b9ddd57d171,138,0.887,actor_struggle;daily_inspiration;directing_academic_footnote;method_terms,Not public cleared. Draft says punctuation/capitalization mostly follows visible typescript; second human/PDF read recommended. New visual check in this pass. Good readability.
MCT-UWINDSOR-365-REJECT-0003,same_item_page_near_duplicate,ec6c6005c88c3568,common_actor_struggles_quote_bucket_verified_draft.md,13,663,5,"It is wrong for a play to end when the curtain goes down as it does in the theatre today, because if we have acted for the whole evening the result of the performance is always after the curtain is down. The better the performance, the more the audience will feel that it does not want to move. The actors must remain for a few moments in the atmosphere at the end of the play. We must establish a new habit to act after the fall of the curtain. Gradually the audience will understand that this is the most precious moment.",c5b7d51a7cd166e9,137,0.892,actor_struggle;daily_inspiration;directing_academic_footnote,Not public cleared. Draft says punctuation/capitalization mostly follows visible typescript; second human/PDF read recommended. New visual check in this pass. Good readability.
MCT-UWINDSOR-365-REJECT-0004,substring_or_overlap_duplicate,c6766965dce09102,common_actor_struggles_quote_bucket_verified_draft.md,8,635,3,"Everyone brought a different style to the stage. We must somehow find the right style. The director will help you with this later on; but to begin with, we must be aware of the style of the fairy tale, and each one must try to find the style which will unite the whole. That which comes at the first moment will often remain in the character until the very end. You must keep these characters - try not to lose them. If you want to throw them away, it is all right but do not lose them unwittingly. You must decide whether you wish to have certain characters or not. Like eating and drinking, each day you must live with your images. Each day, each hour you must live with them and work with them.",ad31684c65c45e52,137,0.889,actor_struggle;daily_inspiration;directing_academic_footnote;method_terms,Not public cleared. Draft says punctuation/capitalization mostly follows visible typescript; second human/PDF read recommended. New visual check in this pass. Good readability.
MCT-UWINDSOR-365-REJECT-0005,same_item_page_near_duplicate,f365d44e87f62a48,common_actor_struggles_quote_bucket_verified_draft.md,9,665,7,"The main point of our Method is that we must not be afraid of the most important moments. Imagine the moment when John is trying, with his heavy wet boots, to jump out of the boat. We are able to touch this moment of the play without spoiling anything. You must find the most important points in the play. By finding the important points you will build a skeleton and this will be of great importance to the actor who will know the important point to which he is working.",62fdff68d38a1a91,134,0.892,actor_struggle;daily_inspiration;directing_academic_footnote;method_terms,Not public cleared. Draft says punctuation/capitalization mostly follows visible typescript; second human/PDF read recommended. New visual check in this pass. Good readability.
MCT-UWINDSOR-365-REJECT-0006,same_item_page_source_page_cap,233841bc7bea6383,chekhov_on_directing_footnote_targets_raw.csv,3,837,1,"OF THE IIHOLEI The beginning and the end. the feeling of the whole. must be experienced by our whole being in the same may as the objective. psychological gesture, etc. Between the beginning and the end, the life floweWe must feel everything that is going on between the beginning end the",01c9ac3a4c1e69a1,140,0.887,actor_struggle;daily_inspiration;directing_academic_footnote;method_terms,OCR/text-layer extraction candidate copied exactly from CSV field candidate_text_from_extraction_not_final; do not quote publicly until visually verified and cleared.
MCT-UWINDSOR-365-REJECT-0007,same_item_page_source_page_cap,233841bc7bea6383,chekhov_on_directing_footnote_targets_raw.csv,8,837,1,"The illusion of the whole is there but the real experience of the whole - the beginning and the end - is not. We must know that there are two feelings of the whole - one is the intellectual which we cannot apply to our art at all, and the other is that which feeds and lends’our whole nature.",7870de65d6ba7a5e,138,0.887,actor_struggle;daily_inspiration;directing_academic_footnote,OCR/text-layer extraction candidate copied exactly from CSV field candidate_text_from_extraction_not_final; do not quote publicly until visually verified and cleared.
MCT-UWINDSOR-365-REJECT-0008,same_item_page_source_page_cap,ec6c6005c88c3568,chekhov_on_directing_footnote_targets_raw.csv,9,663,5,These thrce points are the moments which will lead us through the whole play. tur play begins with a certain silence and ends with a silence. and between these two silences lies the whole play. Low we must try to find some technical mise en sccnc for the beginning and the end; as a frame.,f14f540342b2adc8,137,0.892,actor_struggle;daily_inspiration;directing_academic_footnote,OCR/text-layer extraction candidate copied exactly from CSV field candidate_text_from_extraction_not_final; do not quote publicly until visually verified and cleared.
MCT-UWINDSOR-365-REJECT-0009,same_item_page_source_page_cap,4d5c95255bc1c074,chekhov_on_directing_footnote_targets_raw.csv,6,847,1,"We will only take into consideration rhythm in general, only as a feeling of the whole, with the beginning. the middle and the end, and you will do this by moving one hand. Be very conscious about this — the beginning, the middle part, and the and.",363d6113982074f3,139,0.889,actor_struggle;daily_inspiration;directing_academic_footnote;method_terms,OCR/text-layer extraction candidate copied exactly from CSV field candidate_text_from_extraction_not_final; do not quote publicly until visually verified and cleared.
MCT-UWINDSOR-365-REJECT-0010,same_item_page_source_page_cap,c6766965dce09102,chekhov_on_directing_footnote_targets_raw.csv,12,635,3,"The director will help you with this later on»: but to begin with, we must be aware of the style of the fairy taile, tné each one must try to find the style which will unite the whole. That which comes at the first moment will often rommin in the character until the very end.",55834eafdb31269e,137,0.889,actor_struggle;daily_inspiration;directing_academic_footnote;method_terms,OCR/text-layer extraction candidate copied exactly from CSV field candidate_text_from_extraction_not_final; do not quote publicly until visually verified and cleared.
